ReferenceID	Authors	Year	Title	Details	
1	Hayward, P.J.; Ryland, J.S. (Ed.)	1990	The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods		
42			ITIS database		
44			Massin, Claude		
64	Hansson, H.	2004	North East Atlantic Taxa (NEAT): Nematoda		
281	Fabricius, O.	1780	Fauna Groenlandica: systematice sistens animalia Groenlandiae occidentalis hactenus indagata, quod nomen specificium	Hafniae et Lipsiae: Copenhagen, Denmark. XVI, 452, [2] f. pp	
504	Norman, A.M.	1869	Shetland Final Dredging Report. Part II. On the Crustacea, Tunicata, Polyzoa, Echinodermata, Actinozoa, Hydrozoa, and Porifera.	Reports of the British Association for the Advancement of Science. 38: 247-336 (1868).	
614	Hayward, P.J.; Nelson-Smith, A.; Shields, C.	1996	Collins pocket guide: sea shore of Britain and Europe. <i>Collins pocket guides</i>. Harper-Collins Publishers: London, UK. ISBN 0-00-219955-6. 352 pp.		
662	Madsen, FJ.; Hansen, B.	1994	Echinodermata Holothurioidea.	Mar Invertebr Scand. 9:1–143	
663	Howson, C. M.; Picton, B. E.	1997	The species directory of the marine fauna and flora of the British Isles and surrounding seas	Ulster Museum Publication, 276. The Ulster Museum: Belfast, UK. ISBN 0-948150-06-8. vi, 508 (+ cd-rom) pp.	
671	Linnaeus C.	1767	Caroli Linnaei...Systema naturae per regna tria naturae: secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis.  Editio duodecima. 1. Regnum Animale. 1 & 2  Holmiae, Laurentii Salvii  	Holmiae [Stockholm], Laurentii Salvii. pp. 1-532 [1766] pp. 533-1327 [1767] 	
1038	Massin, Cl.; De Ridder, Ch.	1989	Les échinodermes de Belgique [The Echinodermata from Belgium], <B><I>in</I></B>: Wouters, K.; Baert, L. (Ed.) (1989). <i>Proceedings of the Symposium "Invertebrates of Belgium".</i>		
1041	Pawson, DL.; Vance, DJ.; Ahearn, C.	2001	Western Atlantic sea cucumbers of the Order Molpadiida (Echinodermata: Holothuroidea	Bull Biol Soc Washingt. 10: 311-327	
1042	Sibuet, M.	1974	<i>Cherbonniera utriculus</i> gen. nov., sp. nov., petite Holothurie (Molpadonia, Molpadiidae) des vases abyssales du Nord-Est atlantique [<i>Cherbonniera utriculus</i> gen. nov., sp. nov., small holothurid (Molpadonia, Molpadiidae) from abyssal mud bottoms in the Northeastern Atlantic]. <i>C.R. Acad. Sc. Paris Série D(279)</i>: 1443-1445, 1 plate		
1049	Rowe, F.W.E.	1970	A note on the British species of cucumarians, involving the erection of two new nominal genera. J. mar. Biol. Ass. U.K., 50: 683-687		
1052	Panning, A.	1949	Versuch einer Neuordnung der Familie Cucumariidae (Holothurioidea, Dendrochirotida). Zool. Jb., Abteilung für Systematik, Ökologie und Geographie der Tiere, 78 (4), pp 404-470		
1053	Massin, C.	1988	Note sur deux holothuries nouvelles pour la faune belge [Note on two holothurians new to the Belgian fauna]. <i>Bull. Kon. Belg. Inst. Natuurwet. Biologie 58</i>: 71-74		
1056	Rowe, F.W.E.	1969	A review of the family Holothuriidae (Holothurioidea: Aspidochirotida). <i>Bull. Br. Mus. (Nat. Hist.) (Zool.) 18(4)</i>: 119-170		
1057	Thandar, A. S.	1988	A new subgenus of Holothuria with a description of a new species from the south-east Atlantic Ocean	J. Zool., Lond. 215: 47-54	
1059	von Marenzeller, E.	1893	Contribution à l'étude des Holothuries de l'Atlantique Nord (Golfe de Gascogne, Iles Açores) [Contribution to the study of holothuriids from the North Atlantic (Gulf of Biscay, Açores)]. <i>Résultats des Campagnes Scientifiques Accomplies sur son Yacht par Albert Ier Prince Souverain de Monaco</i>, VI. Imprimerie de Monaco: Monaco. 22, plates I-II pp.		
1060	Cherbonnier, G.	1969	Echinodermes récoltés par la <i>Thalassa</i> au large des côtes ouest de Bretagne et du golfe de Gascogne (3-12 aout 1967) [Echinoderms collected by the <i>Thalassa</i> on the western coast of Brittany and in the Biscay Bay (3-12 August 1967)]. <i>Bull. Acad. Roy. des Sci., Lettr. et B.-Arts (1846) 41(1)</i>: 343-361		
1061	Herapath, W.B.	1865	On the genus <i>Synapta</i>, with some new British species. <i>Quarterly journal of microscopical science N.S.(5)</i>: 1-7		
1062	Gunnerus, J.E.	1767	Beskrifning på trenne Norrska Sjö-Kråk, Sjö-Pungar kallade. <i>Kungl. Svenska Vetenskapsakademiens Handlingar 28</i>: 114-124		
1063	Barrett L	1857	Descriptions of four new species of Echinodermata. <i>Annals and Magazine of Natural History</i> 2(20):46-48, pl. 7, fig. 1.		
1065	Forbes, E.; Goodsir, J.	1839	Notice of zoological researches in Orkney and Shetland during the month of June 1839. <i>The atheneum 618</i>: 647		
1066	von Düben, M. W.; Koren, J.	1846	Öfversigt af Skandinaviens Echinodermer [Overview of Scandinavian Echinodermata]	Kungl. Svenska Vetenskapsakademiens Handlingar 1844. 229-328, plates VI-XI	
1067	Östergren, H.	1898	Zur Anatomie der Dendrochiroten, nebst Beschreibungen neuer Arten [On the anatomy of Dendrochirota, and descriptions of new species]. <i>Zool. Anz. 21</i>: 102-110, 133-136		
1068	Östergren, H.	1905	Zur Kenntnis der skandinavischen und arktischen Synaptiden [On the knowledge of Scandinavian and Arctic <i>Synapta</i>]. <i>Arch. de  Zool. Exp. et Gén. [4], vol. iii(XVII)</i>: CXXXIII-CLXIV		
1095	O'Loughlin, P.M.	1998	A review of the holothurian family Gephyrothuriidae, <B><I>in</I></B>: Mooi, R.; Telford, M. (Ed.) (1998). <i>Echinoderms: San Francisco: Proceedings of the Ninth International Echinoderm Conference, San Francisco, California, USA, 5-9 August, 1996.</i>		
1106	Massin, C.	1993	The Holothurioidea (Echinodermata) collected during the Tyro Mauritania-II expedition 1988. <i>Zool. Meded. 67(29)</i>: 397-429		
1153			The Zoological Record: records of zoological literature relating chiefly to the year		
1168	Jaeger, G.F.	1833	De Holothuriis	Turici. 40 pp.	
1299	Théel, H.	1877	Mémoire sur l'<i>Elpidia</i>, nouveau genre d'Holothuries. Sv. Ak. Handl. Xiv. 8, 30		
1300	Koren, J. & Danielsen, D.C.	1877	[Echinodermata] Fra den norske Nordhavs Expedition. N. Mag. Naturv. Xxiii. 3,		
1301	Danielssen & Koren	1880	N. Mag. Naturv. xxv [cf. Ann. N. H. (5) vii;		
1368	Hansson, H.G.	2001	Echinodermata, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i>		
1658	Kramp P.L.	1961a	Synopsis of the medusae of the world	 Journal of the Marine Biological Association of the U. K.. 40: 1-469. 	
1660	Appeltans, W.	2002	Phylogeny of the Holothuriidae (Echinodermata: Holothuroidea) inferred from morphology. MSc Thesis. Vrije Universiteit Brussel: Brussel, Belgium. 94 pp.		
2930	Brunel, P.; Bosse, L.; Lamarche, G.	1998	Catalogue of the marine invertebrates of the estuary and Gulf of St. Lawrence	Canadian Special Publication of Fisheries and Aquatic Sciences, 126. 405 p	
2965	Gosner,	1977	Gosner, 1977		
2999	Linkletter, L. E.	1977	A checklist of marine fauna and flora of the Bay of Fundy	Huntsman Marine Laboratory, St. Andrews, N.B. 68: p.	
3017	Meinkoth, N.A.	1981	Field guide to North American seashore creatures. The Audubon Society. Alfred A. Knopf. New York. 799 p.		
3042	Pollock, L.W.	1998	A Practical Guide to the Marine Animals of Northeastern North America.	Rutgers University Press, New Brunswick, New Jersey & London.. 367pp.	
3076	UNEP-WCMC. 16 February,	2004	Marine Mammals		
3134	Mortensen T.	1925	On a small collection of echinoderms from the Antarctic Sea. Arkiv för Zoologie, 17A(31): 1-12		
3139	Bell, F. J.	1908	National Antarctic Expedition 1901-04. Echinoderma	Natural History, Zool.. 4, 1-16, 5 pls	
3151	Pawson, D. L.	1968	The Echinozoan fauna of the New Zealand Subantarctic Islands	Macquarie Island, and the Chatham Rise. N. Zealand Oceanographic Inst., Mem. 42: 9-33	
3167	Studer, T.	1876	Echinodermen aus dem antarktischen Meere und zwei neue Seeigel von den Papua-Inseln, gesammelt auf der Reise S.M.S. Gazelle um die Erde	Monatsbericht der königlich preussischen Akademie der Wissenschaften zu Berlin. 452-465	
3531	Rao, G. C.	1968	On Psammothuria ganapati n. gen. n. sp., an interstitial holothurian from the beach sands of Waltair coast and its autecology	Proc. Indian Acad. Sci. 68: 201-206	
4179	Clarke, A.; Johnston, N.M	2003	Antarctic marine benthic diversity	Oceanography and Marine Biology: an Annual Review. 41: 47-114	
