ID	ReferenceType	ReferenceID	
128548	ComNameRef	1116	
128547	TaxAccRef	699	
128547	TaxAccRef	1357	
128547	TaxAccRef	163215	
128547	TaxAccRef	163253	
128548	TaxAccRef	699	
128548	TaxAccRef	1357	
128548	TaxAccRef	1566	
128548	TaxAccRef	9269	
128548	TaxAccRef	141261	
128548	TaxAccRef	163230	
128548	TaxAccRef	163253	
128548	TaxAccRef	165516	
128549	TaxAccRef	42	
128549	TaxAccRef	699	
128549	TaxAccRef	1357	
128549	TaxAccRef	1581	
128549	TaxAccRef	2930	
128549	TaxAccRef	9269	
128549	TaxAccRef	141261	
128549	TaxAccRef	163232	
128549	TaxAccRef	163233	
128549	TaxAccRef	165516	
128550	TaxAccRef	699	
128550	TaxAccRef	1357	
128550	TaxAccRef	1566	
128550	TaxAccRef	132575	
128550	TaxAccRef	165516	
128551	TaxAccRef	699	
128551	TaxAccRef	1357	
128551	TaxAccRef	1582	
128551	TaxAccRef	163221	
128551	TaxAccRef	163235	
128551	TaxAccRef	165516	
128552	TaxAccRef	699	
128552	TaxAccRef	1357	
128552	TaxAccRef	1584	
128552	TaxAccRef	132575	
128552	TaxAccRef	163222	
128552	TaxAccRef	163236	
128552	TaxAccRef	163253	
128552	TaxAccRef	165516	
128553	TaxAccRef	699	
128553	TaxAccRef	1357	
128553	TaxAccRef	132575	
128553	TaxAccRef	163224	
128553	TaxAccRef	163229	
128554	TaxAccRef	1357	
128554	TaxAccRef	163227	
128554	TaxAccRef	163228	
128555	TaxAccRef	699	
128555	TaxAccRef	1357	
128555	TaxAccRef	163223	
128555	TaxAccRef	163226	
237586	TaxAccRef	163217	
237586	TaxAccRef	163231	
266316	TaxAccRef	1318	
267173	TaxAccRef	148117	
345927	TaxAccRef	163220	
474106	NomRef	201088	
474106	TaxAccRef	132641	
474107	NomRef	201088	
474107	TaxAccRef	1582	
474108	NomRef	201088	
474109	NomRef	201088	
474110	NomRef	201088	
474110	TaxAccRef	1582	
474111	NomRef	201088	
584806	TaxAccRef	42	
761044	TaxAccRef	176790	
853144	TaxAccRef	201089	
853145	TaxAccRef	201089	
